"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
17 Sep 2021 04:00:00.000,2883.465591,6252.368483,2651.493942,-5.227369,0.221506,5.162373
17 Sep 2021 04:01:00.000,2564.938054,6254.365234,2956.503659,-5.389731,-0.150960,4.995253
17 Sep 2021 04:02:00.000,2237.237139,6234.024486,3250.940524,-5.532852,-0.522872,4.810269
17 Sep 2021 04:03:00.000,1901.532755,6191.419744,3533.751594,-5.656220,-0.892903,4.608084
17 Sep 2021 04:04:00.000,1559.023442,6126.704028,3803.925505,-5.759394,-1.259730,4.389419
17 Sep 2021 04:05:00.000,1210.932092,6040.109323,4060.496081,-5.842003,-1.622045,4.155058
17 Sep 2021 04:06:00.000,858.501586,5931.945742,4302.545797,-5.903754,-1.978552,3.905837
17 Sep 2021 04:07:00.000,502.990349,5802.600421,4529.209054,-5.944423,-2.327979,3.642649
17 Sep 2021 04:08:00.000,145.667865,5652.536133,4739.675277,-5.963865,-2.669078,3.366434
17 Sep 2021 04:09:00.000,-212.189862,5482.289629,4933.191815,-5.962009,-3.000632,3.078180
17 Sep 2021 04:10:00.000,-569.304862,5292.469719,5109.066631,-5.938862,-3.321456,2.778919
17 Sep 2021 04:11:00.000,-924.401764,5083.755100,5266.670775,-5.894504,-3.630405,2.469720
17 Sep 2021 04:12:00.000,-1276.212349,4856.891920,5405.440639,-5.829095,-3.926376,2.151688
17 Sep 2021 04:13:00.000,-1623.480083,4612.691120,5524.879966,-5.742865,-4.208313,1.825962
17 Sep 2021 04:14:00.000,-1964.964601,4352.025529,5624.561628,-5.636123,-4.475210,1.493707
17 Sep 2021 04:15:00.000,-2299.446139,4075.826745,5704.129152,-5.509248,-4.726112,1.156109
17 Sep 2021 04:16:00.000,-2625.729891,3785.081810,5763.297998,-5.362693,-4.960126,0.814377
17 Sep 2021 04:17:00.000,-2942.650278,3480.829677,5801.856573,-5.196981,-5.176416,0.469733
17 Sep 2021 04:18:00.000,-3249.075108,3164.157501,5819.666988,-5.012702,-5.374210,0.123410
17 Sep 2021 04:19:00.000,-3543.909625,2836.196751,5816.665552,-4.810513,-5.552802,-0.223356
17 Sep 2021 04:20:00.000,-3826.100420,2498.119172,5792.863003,-4.591137,-5.711556,-0.569322
17 Sep 2021 04:21:00.000,-4094.639190,2151.132596,5748.344462,-4.355356,-5.849905,-0.913252
17 Sep 2021 04:22:00.000,-4348.566347,1796.476624,5683.269135,-4.104010,-5.967355,-1.253917
17 Sep 2021 04:23:00.000,-4586.974441,1435.418204,5597.869742,-3.837998,-6.063489,-1.590097
17 Sep 2021 04:24:00.000,-4809.011410,1069.247098,5492.451683,-3.558268,-6.137964,-1.920591
17 Sep 2021 04:25:00.000,-5013.883618,699.271282,5367.391949,-3.265819,-6.190513,-2.244216
17 Sep 2021 04:26:00.000,-5200.858695,326.812265,5223.137770,-2.961695,-6.220952,-2.559816
17 Sep 2021 04:27:00.000,-5369.268157,-46.799621,5060.205020,-2.646981,-6.229171,-2.866262
17 Sep 2021 04:28:00.000,-5518.509793,-420.229981,4879.176367,-2.322801,-6.215143,-3.162457
17 Sep 2021 04:29:00.000,-5648.049819,-792.145120,4680.699194,-1.990311,-6.178917,-3.447343
17 Sep 2021 04:30:00.000,-5757.424787,-1161.216804,4465.483282,-1.650701,-6.120626,-3.719901
17 Sep 2021 04:31:00.000,-5846.243246,-1526.127008,4234.298272,-1.305180,-6.040476,-3.979157
17 Sep 2021 04:32:00.000,-5914.187139,-1885.572619,3987.970910,-0.954984,-5.938757,-4.224182
17 Sep 2021 04:33:00.000,-5961.012943,-2238.270090,3727.382095,-0.601363,-5.815831,-4.454101
17 Sep 2021 04:34:00.000,-5986.552544,-2582.960028,3453.463728,-0.245580,-5.672138,-4.668091
17 Sep 2021 04:35:00.000,-5990.713839,-2918.411684,3167.195374,0.111096,-5.508194,-4.865388
17 Sep 2021 04:36:00.000,-5973.481065,-3243.427353,2869.600766,0.467389,-5.324583,-5.045285
17 Sep 2021 04:37:00.000,-5934.914866,-3556.846648,2561.744141,0.822029,-5.121962,-5.207140
17 Sep 2021 04:38:00.000,-5875.152073,-3857.550642,2244.726432,1.173748,-4.901056,-5.350374
17 Sep 2021 04:39:00.000,-5794.405221,-4144.465864,1919.681335,1.521290,-4.662655,-5.474474
17 Sep 2021 04:40:00.000,-5692.961793,-4416.568132,1587.771253,1.863413,-4.407610,-5.578996
17 Sep 2021 04:41:00.000,-5571.183197,-4672.886207,1250.183137,2.198897,-4.136834,-5.663568
17 Sep 2021 04:42:00.000,-5429.503477,-4912.505261,908.124245,2.526541,-3.851293,-5.727886
17 Sep 2021 04:43:00.000,-5268.427768,-5134.570142,562.817822,2.845177,-3.552008,-5.771720
17 Sep 2021 04:44:00.000,-5088.530493,-5338.288425,215.498727,3.153665,-3.240049,-5.794913
17 Sep 2021 04:45:00.000,-4890.453317,-5522.933240,-132.590984,3.450903,-2.916530,-5.797384
17 Sep 2021 04:46:00.000,-4674.902856,-5687.845866,-480.206500,3.735830,-2.582607,-5.779122
17 Sep 2021 04:47:00.000,-4442.648156,-5832.438081,-826.104703,4.007428,-2.239474,-5.740193
17 Sep 2021 04:48:00.000,-4194.517952,-5956.194261,-1169.048619,4.264725,-1.888355,-5.680737
17 Sep 2021 04:49:00.000,-3931.397707,-6058.673214,-1507.811840,4.506803,-1.530505,-5.600966
17 Sep 2021 04:50:00.000,-3654.226457,-6139.509760,-1841.182906,4.732796,-1.167204,-5.501165
17 Sep 2021 04:51:00.000,-3363.993455,-6198.416028,-2167.969641,4.941897,-0.799747,-5.381691
17 Sep 2021 04:52:00.000,-3061.734644,-6235.182480,-2487.003417,5.133358,-0.429449,-5.242971
17 Sep 2021 04:53:00.000,-2748.528955,-6249.678661,-2797.143330,5.306494,-0.057631,-5.085503
17 Sep 2021 04:54:00.000,-2425.494462,-6241.853655,-3097.280283,5.460687,0.314379,-4.909847
17 Sep 2021 04:55:00.000,-2093.784384,-6211.736273,-3386.340949,5.595385,0.685251,-4.716634
17 Sep 2021 04:56:00.000,-1754.582972,-6159.434937,-3663.291612,5.710106,1.053662,-4.506553
17 Sep 2021 04:57:00.000,-1409.101282,-6085.137298,-3927.141865,5.804440,1.418295,-4.280356
17 Sep 2021 04:58:00.000,-1058.572847,-5989.109557,-4176.948148,5.878049,1.777849,-4.038852
17 Sep 2021 04:59:00.000,-704.249277,-5871.695515,-4411.817123,5.930669,2.131040,-3.782905
17 Sep 2021 05:00:00.000,-347.395786,-5733.315340,-4630.908871,5.962111,2.476606,-3.513430
17 Sep 2021 05:01:00.000,10.713322,-5574.464063,-4833.439896,5.972263,2.813313,-3.231390
17 Sep 2021 05:02:00.000,368.799206,-5395.709809,-5018.685923,5.961086,3.139960,-2.937795
17 Sep 2021 05:03:00.000,725.583054,-5197.691766,-5185.984490,5.928621,3.455380,-2.633693
17 Sep 2021 05:04:00.000,1079.790650,-4981.117895,-5334.737319,5.874982,3.758447,-2.320173
17 Sep 2021 05:05:00.000,1430.156924,-4746.762401,-5464.412454,5.800359,4.048079,-1.998356
17 Sep 2021 05:06:00.000,1775.430473,-4495.462970,-5574.546162,5.705019,4.323242,-1.669393
17 Sep 2021 05:07:00.000,2114.378027,-4228.117767,-5664.744593,5.589301,4.582954,-1.334460
17 Sep 2021 05:08:00.000,2445.788857,-3945.682229,-5734.685188,5.453618,4.826288,-0.994754
17 Sep 2021 05:09:00.000,2768.479096,-3649.165654,-5784.117834,5.298452,5.052376,-0.651491
17 Sep 2021 05:10:00.000,3081.295973,-3339.627590,-5812.865754,5.124358,5.260411,-0.305899
17 Sep 2021 05:11:00.000,3383.121929,-3018.174048,-5820.826146,4.931956,5.449650,0.040788
17 Sep 2021 05:12:00.000,3672.878607,-2685.953556,-5807.970543,4.721933,5.619418,0.387328
17 Sep 2021 05:13:00.000,3949.530709,-2344.153047,-5774.344921,4.495038,5.769111,0.732483
17 Sep 2021 05:14:00.000,4212.089691,-1993.993627,-5720.069531,4.252081,5.898193,1.075019
17 Sep 2021 05:15:00.000,4459.617300,-1636.726207,-5645.338471,3.993928,6.006205,1.413711
