"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
17 Sep 2021 04:00:00.000,-6311.073786,3693.454447,982.673650,-1.639753,-4.322232,5.714373
17 Sep 2021 04:01:00.000,-6398.024026,3427.794915,1323.788569,-1.261217,-4.534382,5.645640
17 Sep 2021 04:02:00.000,-6462.118380,3149.883948,1660.169493,-0.878189,-4.730350,5.556718
17 Sep 2021 04:03:00.000,-6503.128689,2860.713339,1990.613481,-0.492037,-4.909436,5.447924
17 Sep 2021 04:04:00.000,-6520.909255,2561.315130,2313.938824,-0.104140,-5.071000,5.319648
17 Sep 2021 04:05:00.000,-6515.397359,2252.757928,2628.989267,0.284115,-5.214464,5.172348
17 Sep 2021 04:06:00.000,-6486.613481,1936.143090,2934.638150,0.671342,-5.339315,5.006551
17 Sep 2021 04:07:00.000,-6434.661226,1612.600796,3229.792434,1.056158,-5.445107,4.822850
17 Sep 2021 04:08:00.000,-6359.726950,1283.286013,3513.396607,1.437189,-5.531460,4.621901
17 Sep 2021 04:09:00.000,-6262.079091,949.374367,3784.436465,1.813073,-5.598066,4.404425
17 Sep 2021 04:10:00.000,-6142.067208,612.057956,4041.942733,2.182468,-5.644686,4.171197
17 Sep 2021 04:11:00.000,-6000.120730,272.541083,4284.994536,2.544055,-5.671153,3.923053
17 Sep 2021 04:12:00.000,-5836.747419,-67.964033,4512.722686,2.896543,-5.677371,3.660879
17 Sep 2021 04:13:00.000,-5652.531554,-408.241595,4724.312799,3.238673,-5.663317,3.385614
17 Sep 2021 04:14:00.000,-5448.131839,-747.076560,4919.008199,3.569223,-5.629040,3.098241
17 Sep 2021 04:15:00.000,-5224.279053,-1083.258985,5096.112630,3.887013,-5.574662,2.799788
17 Sep 2021 04:16:00.000,-4981.773432,-1415.588344,5254.992741,4.190908,-5.500376,2.491323
17 Sep 2021 04:17:00.000,-4721.481809,-1742.877815,5395.080355,4.479823,-5.406447,2.173949
17 Sep 2021 04:18:00.000,-4444.334521,-2063.958519,5515.874499,4.752728,-5.293208,1.848800
