"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
17 Sep 2021 04:00:00.000,-1970.074534,4348.889289,5625.199897,-5.632493,-4.480567,1.491335
17 Sep 2021 04:01:00.000,-2304.329325,4072.374897,5704.623971,-5.505321,-4.731273,1.153704
17 Sep 2021 04:02:00.000,-2630.368895,3781.326676,5763.647598,-5.358483,-4.965072,0.811947
17 Sep 2021 04:03:00.000,-2947.028536,3476.784663,5802.059704,-5.192502,-5.181130,0.467286
17 Sep 2021 04:04:00.000,-3253.176989,3159.837049,5819.722923,-5.007970,-5.378675,0.120955
17 Sep 2021 04:05:00.000,-3547.720484,2831.616286,5816.574092,-4.805546,-5.557002,-0.225809
17 Sep 2021 04:06:00.000,-3829.606651,2493.295048,5792.624474,-4.585952,-5.715476,-0.571766
17 Sep 2021 04:07:00.000,-4097.828275,2146.082037,5747.959717,-4.349971,-5.853531,-0.915678
17 Sep 2021 04:08:00.000,-4351.426901,1791.217663,5682.739551,-4.098446,-5.970674,-1.256315
17 Sep 2021 04:09:00.000,-4589.496253,1429.969617,5597.197212,-3.832273,-6.066489,-1.592459
17 Sep 2021 04:10:00.000,-4811.185477,1063.628340,5491.638613,-3.552404,-6.140634,-1.922909
17 Sep 2021 04:11:00.000,-5015.702179,693.502413,5366.441246,-3.259836,-6.192845,-2.246482
17 Sep 2021 04:12:00.000,-5202.315260,320.913885,5222.052834,-2.955614,-6.222936,-2.562021
17 Sep 2021 04:13:00.000,-5370.357528,-52.806451,5058.989730,-2.640824,-6.230801,-2.868398
17 Sep 2021 04:14:00.000,-5519.228082,-426.323814,4877.835071,-2.316590,-6.216412,-3.164517
17 Sep 2021 04:15:00.000,-5648.394464,-798.304197,4679.236687,-1.984069,-6.179822,-3.449320
17 Sep 2021 04:16:00.000,-5757.394562,-1167.419132,4463.904795,-1.644449,-6.121162,-3.721787
17 Sep 2021 04:17:00.000,-5845.838261,-1532.350440,4232.609449,-1.298942,-6.040643,-3.980945
17 Sep 2021 04:18:00.000,-5913.408842,-1891.794933,3986.177792,-0.948781,-5.938552,-4.225866
17 Sep 2021 04:19:00.000,-5959.864118,-2244.469068,3725.491094,-0.595218,-5.815257,-4.455676
17 Sep 2021 04:20:00.000,-5985.037296,-2589.113534,3451.481605,-0.239513,-5.671196,-4.669551
17 Sep 2021 04:21:00.000,-5988.837580,-2924.497745,3165.129218,0.117061,-5.506887,-4.866727
17 Sep 2021 04:22:00.000,-5971.250500,-3249.424237,2867.457967,0.473232,-5.322916,-5.046499
17 Sep 2021 04:23:00.000,-5932.337962,-3562.732939,2559.532361,0.827729,-5.119942,-5.208224
17 Sep 2021 04:24:00.000,-5872.238034,-3863.305321,2242.453581,1.179284,-4.898689,-5.351324
17 Sep 2021 04:25:00.000,-5791.164455,-4150.068382,1917.355541,1.526643,-4.659950,-5.475287
17 Sep 2021 04:26:00.000,-5689.405876,-4421.998482,1585.400832,1.868564,-4.404577,-5.579670
17 Sep 2021 04:27:00.000,-5567.324828,-4678.124997,1247.776567,2.203826,-4.133482,-5.664099
17 Sep 2021 04:28:00.000,-5425.356437,-4917.533783,905.690132,2.531232,-3.847636,-5.728272
17 Sep 2021 04:29:00.000,-5264.006868,-5139.370438,560.364871,2.849613,-3.548058,-5.771961
17 Sep 2021 04:30:00.000,-5083.851521,-5342.843352,213.035709,3.157830,-3.235820,-5.795008
17 Sep 2021 04:31:00.000,-4885.532984,-5527.226532,-135.055260,3.454783,-2.912038,-5.797331
17 Sep 2021 04:32:00.000,-4669.758732,-5691.862190,-482.663221,3.739410,-2.577868,-5.778923
17 Sep 2021 04:33:00.000,-4437.298613,-5836.163094,-828.545084,4.010695,-2.234504,-5.739848
17 Sep 2021 04:34:00.000,-4188.982093,-5959.614658,-1171.463934,4.267668,-1.883172,-5.680247
17 Sep 2021 04:35:00.000,-3925.695302,-6061.776780,-1510.193450,4.509411,-1.525128,-5.600333
17 Sep 2021 04:36:00.000,-3648.377869,-6142.285410,-1843.522294,4.735061,-1.161652,-5.500391
17 Sep 2021 04:37:00.000,-3358.019571,-6200.853848,-2170.258443,4.943809,-0.794040,-5.380780
17 Sep 2021 04:38:00.000,-3055.656795,-6237.273763,-2489.233446,5.134911,-0.423607,-5.241926
17 Sep 2021 04:39:00.000,-2742.368846,-6251.415935,-2799.306613,5.307683,-0.051674,-5.084326
17 Sep 2021 04:40:00.000,-2419.274090,-6243.230715,-3099.369082,5.461507,0.320428,-4.908544
17 Sep 2021 04:41:00.000,-2087.525961,-6212.748198,-3388.347795,5.595834,0.691371,-4.715208
17 Sep 2021 04:42:00.000,-1748.308848,-6160.078111,-3665.209329,5.710182,1.059831,-4.505010
17 Sep 2021 04:43:00.000,-1402.833859,-6085.409422,-3928.963594,5.804142,1.424492,-4.278702
17 Sep 2021 04:44:00.000,-1052.334506,-5989.009655,-4178.667374,5.877379,1.784051,-4.037093
17 Sep 2021 04:45:00.000,-698.062293,-5871.223941,-4413.427699,5.929629,2.137225,-3.781047
17 Sep 2021 04:46:00.000,-341.282252,-5732.473775,-4632.405038,5.960705,2.482752,-3.511479
17 Sep 2021 04:47:00.000,16.731576,-5573.255509,-4834.816303,5.970495,2.819398,-3.229353
17 Sep 2021 04:48:00.000,374.700691,-5394.138579,-5019.937647,5.958964,3.145962,-2.935679
17 Sep 2021 04:49:00.000,731.346697,-5195.763466,-5187.107055,5.926151,3.461278,-2.631507
17 Sep 2021 04:50:00.000,1085.395871,-4978.839408,-5335.726711,5.872173,3.764219,-2.317924
17 Sep 2021 04:51:00.000,1435.583710,-4744.141862,-5465.265135,5.797222,4.053705,-1.996053
17 Sep 2021 04:52:00.000,1780.659447,-4492.509732,-5575.259082,5.701565,4.328703,-1.667042
17 Sep 2021 04:53:00.000,2119.390518,-4224.842372,-5665.315203,5.585542,4.588229,-1.332071
17 Sep 2021 04:54:00.000,2450.566968,-3942.096371,-5735.111448,5.449566,4.831359,-0.992336
17 Sep 2021 04:55:00.000,2773.005767,-3645.282135,-5784.398219,5.294124,5.057225,-0.649052
17 Sep 2021 04:56:00.000,3085.555043,-3335.460274,-5812.999263,5.119768,5.265020,-0.303447
17 Sep 2021 04:57:00.000,3387.098191,-3013.737814,-5820.812299,4.927121,5.454003,0.043243
17 Sep 2021 04:58:00.000,3676.557865,-2681.264242,-5807.809391,4.716870,5.623499,0.389778
17 Sep 2021 04:59:00.000,3952.899827,-2339.227396,-5774.037040,4.489765,5.772906,0.734920
17 Sep 2021 05:00:00.000,4215.136641,-1988.849226,-5719.616022,4.246617,5.901688,1.077433
17 Sep 2021 05:01:00.000,4462.331205,-1631.381423,-5644.740956,3.988293,6.009388,1.416093
17 Sep 2021 05:02:00.000,4693.600093,-1268.100951,-5549.679607,3.715714,6.095621,1.749689
17 Sep 2021 05:03:00.000,4908.116720,-900.305486,-5434.771926,3.429855,6.160080,2.077028
17 Sep 2021 05:04:00.000,5105.114290,-529.308778,-5300.428841,3.131734,6.202537,2.396939
17 Sep 2021 05:05:00.000,5283.888541,-156.435958,-5147.130780,2.822417,6.222839,2.708278
17 Sep 2021 05:06:00.000,5443.800261,216.981191,-4975.425959,2.503008,6.220916,3.009933
17 Sep 2021 05:07:00.000,5584.277573,589.608996,-4785.928416,2.174646,6.196775,3.300823
17 Sep 2021 05:08:00.000,5704.817983,960.116653,-4579.315821,1.838504,6.150503,3.579909
17 Sep 2021 05:09:00.000,5804.990172,1327.180982,-4356.327047,1.495783,6.082267,3.846193
17 Sep 2021 05:10:00.000,5884.435545,1689.491152,-4117.759531,1.147705,5.992311,4.098722
17 Sep 2021 05:11:00.000,5942.869513,2045.753363,-3864.466421,0.795514,5.880956,4.336594
17 Sep 2021 05:12:00.000,5980.082511,2394.695463,-3597.353527,0.440467,5.748603,4.558957
17 Sep 2021 05:13:00.000,5995.940749,2735.071495,-3317.376078,0.083832,5.595723,4.765018
17 Sep 2021 05:14:00.000,5990.386697,3065.666142,-3025.535310,-0.273117,5.422864,4.954037
17 Sep 2021 05:15:00.000,5963.439290,3385.299070,-2722.874883,-0.629106,5.230645,5.125341
17 Sep 2021 05:16:00.000,5915.193864,3692.829140,-2410.477148,-0.982863,5.019751,5.278316
17 Sep 2021 05:17:00.000,5845.821821,3987.158479,-2089.459280,-1.333125,4.790938,5.412415
17 Sep 2021 05:18:00.000,5755.570018,4267.236408,-1760.969279,-1.678640,4.545023,5.527158
17 Sep 2021 05:19:00.000,5644.759887,4532.063183,-1426.181867,-2.018175,4.282885,5.622135
17 Sep 2021 05:20:00.000,5513.786296,4780.693569,-1086.294285,-2.350518,4.005460,5.697007
17 Sep 2021 05:21:00.000,5363.116135,5012.240214,-742.522013,-2.674479,3.713741,5.751506
17 Sep 2021 05:22:00.000,5193.286659,5225.876814,-396.094426,-2.988904,3.408770,5.785437
17 Sep 2021 05:23:00.000,5004.903563,5420.841062,-48.250389,-3.292667,3.091636,5.798678
17 Sep 2021 05:24:00.000,4798.638831,5596.437367,299.766162,-3.584684,2.763473,5.791183
17 Sep 2021 05:25:00.000,4575.228334,5752.039341,646.710679,-3.863911,2.425453,5.762977
17 Sep 2021 05:26:00.000,4335.469205,5887.092026,991.342443,-4.129352,2.078783,5.714163
17 Sep 2021 05:27:00.000,4080.216997,6001.113878,1332.429011,-4.380056,1.724702,5.644913
17 Sep 2021 05:28:00.000,3810.382626,6093.698484,1668.750615,-4.615129,1.364475,5.555477
17 Sep 2021 05:29:00.000,3526.929127,6164.516009,1999.104526,-4.833730,0.999389,5.446174
17 Sep 2021 05:30:00.000,3230.868207,6213.314369,2322.309361,-5.035078,0.630748,5.317395
17 Sep 2021 05:31:00.000,2923.256646,6239.920135,2637.209298,-5.218452,0.259868,5.169600
