"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
17 Sep 2021 04:00:00.000,-1655.108630,6178.174162,3678.000141,-5.718457,1.133064,-4.476600
17 Sep 2021 04:01:00.000,-1994.987929,6235.202482,3402.819237,-5.609641,0.763395,-4.687611
17 Sep 2021 04:02:00.000,-2327.728784,6269.962903,3115.469385,-5.480797,0.390986,-4.881857
17 Sep 2021 04:03:00.000,-2652.143268,6282.330422,2816.978193,-5.332387,0.017166,-5.058646
17 Sep 2021 04:04:00.000,-2967.073234,6272.260015,2508.413108,-5.164940,-0.356730,-5.217344
17 Sep 2021 04:05:00.000,-3271.394455,6239.786794,2190.877605,-4.979056,-0.729366,-5.357384
17 Sep 2021 04:06:00.000,-3564.020635,6185.025889,1865.507238,-4.775400,-1.099410,-5.478265
17 Sep 2021 04:07:00.000,-3843.907288,6108.172040,1533.465578,-4.554700,-1.465543,-5.579555
17 Sep 2021 04:08:00.000,-4110.055465,6009.498901,1195.940056,-4.317743,-1.826454,-5.660892
17 Sep 2021 04:09:00.000,-4361.515320,5889.358070,854.137712,-4.065378,-2.180856,-5.721985
17 Sep 2021 04:10:00.000,-4597.389497,5748.177832,509.280880,-3.798505,-2.527483,-5.762615
17 Sep 2021 04:11:00.000,-4816.836339,5586.461635,162.602820,-3.518080,-2.865095,-5.782637
17 Sep 2021 04:12:00.000,-5019.072884,5404.786294,-184.656698,-3.225103,-3.192486,-5.781979
17 Sep 2021 04:13:00.000,-5203.377662,5203.799934,-531.255823,-2.920621,-3.508488,-5.760644
17 Sep 2021 04:14:00.000,-5369.093269,4984.219676,-875.955068,-2.605722,-3.811970,-5.718709
17 Sep 2021 04:15:00.000,-5515.628711,4746.829082,-1217.521737,-2.281532,-4.101849,-5.656322
17 Sep 2021 04:16:00.000,-5642.461513,4492.475353,-1554.734340,-1.949208,-4.377089,-5.573708
17 Sep 2021 04:17:00.000,-5749.139578,4222.066313,-1886.386956,-1.609937,-4.636705,-5.471161
17 Sep 2021 04:18:00.000,-5835.282805,3936.567163,-2211.293548,-1.264931,-4.879771,-5.349049
17 Sep 2021 04:19:00.000,-5900.584436,3636.997036,-2528.292203,-0.915422,-5.105417,-5.207808
17 Sep 2021 04:20:00.000,-5944.812154,3324.425365,-2836.249289,-0.562659,-5.312836,-5.047942
