"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
17 Sep 2021 04:00:00.000,-3846.782993,6106.657216,1532.287128,-4.553432,-1.468248,-5.579878
17 Sep 2021 04:01:00.000,-4112.850045,6007.824575,1194.744314,-4.316307,-1.829065,-5.661144
17 Sep 2021 04:02:00.000,-4364.218794,5887.530221,852.928954,-4.063778,-2.183363,-5.722165
17 Sep 2021 04:03:00.000,-4599.992212,5746.202989,508.063429,-3.796747,-2.529876,-5.762723
17 Sep 2021 04:04:00.000,-4819.329000,5584.346851,161.381030,-3.516170,-2.867366,-5.782672
17 Sep 2021 04:05:00.000,-5021.446588,5402.539121,-185.878459,-3.223048,-3.194628,-5.781942
17 Sep 2021 04:06:00.000,-5205.623933,5201.428397,-532.473185,-2.918428,-3.510492,-5.760535
17 Sep 2021 04:07:00.000,-5371.204084,4981.732245,-877.163677,-2.603400,-3.813829,-5.718527
17 Sep 2021 04:08:00.000,-5517.596532,4744.234639,-1218.717272,-2.279088,-4.103557,-5.656069
17 Sep 2021 04:09:00.000,-5644.279312,4489.783164,-1555.912525,-1.946651,-4.378639,-5.573384
17 Sep 2021 04:10:00.000,-5750.800863,4219.285991,-1887.543577,-1.607277,-4.638093,-5.470767
17 Sep 2021 04:11:00.000,-5836.781641,3933.708636,-2212.424469,-1.262177,-4.880990,-5.348587
17 Sep 2021 04:12:00.000,-5901.915470,3634.070513,-2529.393381,-0.912584,-5.106464,-5.207279
17 Sep 2021 04:13:00.000,-5945.970633,3321.441296,-2837.316785,-0.559747,-5.313707,-5.047349
17 Sep 2021 04:14:00.000,-5968.790693,2996.937099,-3135.093505,-0.204926,-5.501980,-4.869369
17 Sep 2021 04:15:00.000,-5970.295052,2661.716491,-3421.658648,0.150612,-5.670609,-4.673976
17 Sep 2021 04:16:00.000,-5950.479235,2316.976363,-3695.987419,0.505597,-5.818990,-4.461868
17 Sep 2021 04:17:00.000,-5909.414902,1963.947651,-3957.098778,0.858762,-5.946594,-4.233803
17 Sep 2021 04:18:00.000,-5847.249588,1603.890942,-4204.058954,1.208845,-6.052963,-3.990598
17 Sep 2021 04:19:00.000,-5764.206177,1238.091973,-4435.984785,1.554597,-6.137717,-3.733122
17 Sep 2021 04:20:00.000,-5660.582096,867.857039,-4652.046870,1.894782,-6.200552,-3.462296
