"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
17 Sep 2021 04:00:00.000,-1729.483916,-6161.968374,-3670.958559,5.710369,1.078342,-4.500378
17 Sep 2021 04:01:00.000,-1384.031375,-6086.186491,-3934.424575,5.803209,1.443082,-4.273735
17 Sep 2021 04:02:00.000,-1033.621611,-5988.670748,-4183.820578,5.875328,1.802654,-4.031810
17 Sep 2021 04:03:00.000,-679.505807,-5869.770258,-4418.254697,5.926469,2.155774,-3.775466
17 Sep 2021 04:04:00.000,-322.948436,-5729.910497,-4636.888568,5.956446,2.501182,-3.505621
17 Sep 2021 04:05:00.000,34.777258,-5569.591781,-4838.940331,5.965153,2.837643,-3.223239
17 Sep 2021 04:06:00.000,392.393801,-5389.387474,-5023.687426,5.952558,3.163956,-2.929330
17 Sep 2021 04:07:00.000,748.624060,-5189.941940,-5190.469176,5.918704,3.478957,-2.624946
17 Sep 2021 04:08:00.000,1102.195795,-4971.968240,-5338.689150,5.863711,3.781521,-2.311175
17 Sep 2021 04:09:00.000,1451.846209,-4736.245578,-5467.817298,5.787776,4.070567,-1.989139
17 Sep 2021 04:10:00.000,1796.326454,-4483.616519,-5577.391843,5.691167,4.345065,-1.659989
17 Sep 2021 04:11:00.000,2134.406094,-4214.983979,-5667.020935,5.574231,4.604033,-1.324903
17 Sep 2021 04:12:00.000,2464.877500,-3931.307992,-5736.384051,5.437382,4.846548,-0.985079
17 Sep 2021 04:13:00.000,2786.560160,-3633.602284,-5785.233142,5.281110,5.071745,-0.641733
17 Sep 2021 04:14:00.000,3098.304903,-3322.930651,-5813.393519,5.105971,5.278819,-0.296091
17 Sep 2021 04:15:00.000,3398.997996,-3000.403152,-5820.764481,4.912590,5.467032,0.050609
17 Sep 2021 04:16:00.000,3687.565130,-2667.172149,-5807.319669,4.701657,5.635712,0.397129
17 Sep 2021 04:17:00.000,3962.975253,-2324.428187,-5773.107165,4.473924,5.784258,0.742228
17 Sep 2021 04:18:00.000,4224.244259,-1973.395738,-5718.249320,4.230205,5.912139,1.084672
17 Sep 2021 04:19:00.000,4470.438500,-1615.328833,-5642.942315,3.971368,6.018901,1.423238
17 Sep 2021 04:20:00.000,4700.678124,-1251.506575,-5547.455458,3.698337,6.104162,1.756714
17 Sep 2021 04:21:00.000,4914.140221,-883.228574,-5432.130224,3.412088,6.167619,2.083908
17 Sep 2021 04:22:00.000,5110.061760,-511.810303,-5297.379032,3.113641,6.209045,2.403650
17 Sep 2021 04:23:00.000,5287.742323,-138.578401,-5143.683772,2.804062,6.228295,2.714796
17 Sep 2021 04:24:00.000,5446.546601,235.134068,-4971.594078,2.484456,6.225300,3.016233
17 Sep 2021 04:25:00.000,5585.906675,607.992375,-4781.725367,2.155964,6.200071,3.306884
17 Sep 2021 04:26:00.000,5705.324037,978.664893,-4574.756633,1.819759,6.152699,3.585709
17 Sep 2021 04:27:00.000,5804.371381,1345.827853,-4351.428025,1.477041,6.083356,3.851711
17 Sep 2021 04:28:00.000,5882.694128,1708.170071,-4112.538194,1.129033,5.992288,4.103938
17 Sep 2021 04:29:00.000,5940.011697,2064.397630,-3858.941442,0.776979,5.879822,4.341490
17 Sep 2021 04:30:00.000,5976.118509,2413.238505,-3591.544664,0.422135,5.746361,4.563516
17 Sep 2021 04:31:00.000,5990.884727,2753.447097,-3311.304104,0.065769,5.592382,4.769222
17 Sep 2021 04:32:00.000,5984.256717,3083.808688,-3019.221939,-0.290847,5.418436,4.957873
17 Sep 2021 04:33:00.000,5956.257249,3403.143775,-2716.342692,-0.646439,5.225144,5.128793
17 Sep 2021 04:34:00.000,5906.985418,3710.312280,-2403.749498,-0.999738,5.013199,5.281373
17 Sep 2021 04:35:00.000,5836.616288,4004.217625,-2082.560229,-1.349481,4.783357,5.415066
17 Sep 2021 04:36:00.000,5745.400278,4283.810640,-1753.923500,-1.694419,4.536440,5.529393
17 Sep 2021 04:37:00.000,5633.662262,4548.093314,-1419.014555,-2.033321,4.273331,5.623947
17 Sep 2021 04:38:00.000,5501.800422,4796.122356,-1079.031072,-2.364976,3.994970,5.698389
17 Sep 2021 04:39:00.000,5350.284820,5027.012558,-735.188873,-2.688199,3.702352,5.752453
17 Sep 2021 04:40:00.000,5179.655726,5239.939961,-388.717583,-3.001835,3.396522,5.785945
17 Sep 2021 04:41:00.000,4990.521694,5434.144789,-40.856224,-3.304764,3.078573,5.798747
17 Sep 2021 04:42:00.000,4783.557387,5608.934164,307.151207,-3.595904,2.749641,5.790811
17 Sep 2021 04:43:00.000,4559.501174,5763.684576,654.060194,-3.874214,2.410902,5.762166
17 Sep 2021 04:44:00.000,4319.152494,5897.844111,998.630146,-4.138700,2.063565,5.712915
17 Sep 2021 04:45:00.000,4063.369003,6010.934412,1339.628840,-4.388417,1.708872,5.643234
17 Sep 2021 04:46:00.000,3793.063516,6102.552392,1675.836822,-4.622472,1.348089,5.553373
17 Sep 2021 04:47:00.000,3509.200747,6172.371667,2006.051771,-4.840029,0.982505,5.443651
17 Sep 2021 04:48:00.000,3212.793868,6220.143719,2329.092799,-5.040311,0.613427,5.314463
17 Sep 2021 04:49:00.000,2904.900890,6245.698782,2643.804671,-5.222600,0.242171,5.166269
17 Sep 2021 04:50:00.000,2586.620889,6248.946442,2949.061941,-5.386247,-0.129934,4.999600
17 Sep 2021 04:51:00.000,2259.090083,6229.875963,3243.772970,-5.530664,-0.501562,4.815052
17 Sep 2021 04:52:00.000,1923.477773,6188.556314,3526.883837,-5.655336,-0.871384,4.613285
17 Sep 2021 04:53:00.000,1580.982171,6125.135927,3797.382104,-5.759817,-1.238079,4.395020
17 Sep 2021 04:54:00.000,1232.826121,6039.842160,4054.300437,-5.843733,-1.600339,4.161038
17 Sep 2021 04:55:00.000,880.252734,5932.980482,4296.720065,-5.906783,-1.956869,3.912176
17 Sep 2021 04:56:00.000,524.520949,5804.933380,4523.774068,-5.948741,-2.306396,3.649323
17 Sep 2021 04:57:00.000,166.901035,5656.158992,4734.650472,-5.969456,-2.647672,3.373420
17 Sep 2021 04:58:00.000,-191.329939,5487.189461,4928.595162,-5.968854,-2.979480,3.085453
17 Sep 2021 04:59:00.000,-548.892670,5298.629040,5104.914566,-5.946936,-3.300633,2.786452
17 Sep 2021 05:00:00.000,-904.510189,5091.151925,5262.978148,-5.903778,-3.609986,2.477487
17 Sep 2021 05:01:00.000,-1256.912417,4865.499848,5402.220654,-5.839536,-3.906434,2.159661
17 Sep 2021 05:02:00.000,-1604.840705,4622.479424,5522.144138,-5.754436,-4.188918,1.834113
17 Sep 2021 05:03:00.000,-1947.052331,4362.959265,5622.319740,-5.648782,-4.456431,1.502006
17 Sep 2021 05:04:00.000,-2282.324932,4087.866883,5702.389222,-5.522950,-4.708018,1.164527
17 Sep 2021 05:05:00.000,-2609.460879,3798.185365,5762.066248,-5.377390,-4.942781,0.822884
17 Sep 2021 05:06:00.000,-2927.291547,3494.949868,5801.137407,-5.212619,-5.159881,0.478298
17 Sep 2021 05:07:00.000,-3234.681494,3179.243916,5819.462978,-5.029226,-5.358545,0.132001
17 Sep 2021 05:08:00.000,-3530.532519,2852.195528,5816.977428,-4.827864,-5.538063,-0.214767
17 Sep 2021 05:09:00.000,-3813.787580,2514.973191,5793.689648,-4.609253,-5.697795,-0.560767
17 Sep 2021 05:10:00.000,-4083.434575,2168.781680,5749.682920,-4.374172,-5.837171,-0.904762
17 Sep 2021 05:11:00.000,-4338.509958,1814.857761,5685.114620,-4.123460,-5.955694,-1.245522
17 Sep 2021 05:12:00.000,-4578.102179,1454.465763,5600.215654,-3.858011,-6.052943,-1.581827
