"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
17 Sep 2021 04:00:00.000,3802.515563,2474.497270,-5818.474391,-3.779046,6.300737,0.209896
17 Sep 2021 04:01:00.000,3569.094350,2847.967882,-5795.476689,-3.998444,6.142301,0.555994
17 Sep 2021 04:02:00.000,3322.942511,3211.275223,-5751.753655,-4.203557,5.961917,0.900104
17 Sep 2021 04:03:00.000,3064.939351,3563.121161,-5687.461645,-4.393656,5.760231,1.240995
17 Sep 2021 04:04:00.000,2796.006443,3902.248470,-5602.830574,-4.568061,5.537961,1.577448
17 Sep 2021 04:05:00.000,2517.104337,4227.445324,-5498.163092,-4.726150,5.295903,1.908260
17 Sep 2021 04:06:00.000,2229.229124,4537.549626,-5373.833501,-4.867361,5.034918,2.232248
17 Sep 2021 04:07:00.000,1933.408888,4831.453162,-5230.286417,-4.991190,4.755940,2.548253
17 Sep 2021 04:08:00.000,1630.700024,5108.105561,-5068.035182,-5.097195,4.459965,2.855145
17 Sep 2021 04:09:00.000,1322.183474,5366.518047,-4887.660023,-5.184999,4.148049,3.151827
17 Sep 2021 04:10:00.000,1008.960862,5605.766978,-4689.805983,-5.254290,3.821306,3.437237
17 Sep 2021 04:11:00.000,692.150562,5824.997140,-4475.180612,-5.304820,3.480902,3.710356
17 Sep 2021 04:12:00.000,372.883705,6023.424811,-4244.551434,-5.336410,3.128055,3.970206
17 Sep 2021 04:13:00.000,52.300141,6200.340560,-3998.743206,-5.348949,2.764023,4.215858
17 Sep 2021 04:14:00.000,-268.455632,6355.111780,-3738.634968,-5.342393,2.390107,4.446433
17 Sep 2021 04:15:00.000,-588.238553,6487.184958,-3465.156897,-5.316764,2.007642,4.661108
17 Sep 2021 04:16:00.000,-905.907086,6596.087645,-3179.286983,-5.272157,1.617994,4.859114
17 Sep 2021 04:17:00.000,-1220.327296,6681.430155,-2882.047531,-5.208732,1.222556,5.039743
17 Sep 2021 04:18:00.000,-1530.376893,6742.906952,-2574.501504,-5.126714,0.822739,5.202349
17 Sep 2021 04:19:00.000,-1834.949242,6780.297749,-2257.748725,-5.026399,0.419972,5.346352
17 Sep 2021 04:20:00.000,-2132.957310,6793.468295,-1932.921939,-4.908145,0.015693,5.471235
17 Sep 2021 04:21:00.000,-2423.337550,6782.370858,-1601.182765,-4.772374,-0.388654,5.576552
17 Sep 2021 04:22:00.000,-2705.053690,6747.044397,-1263.717544,-4.619573,-0.791623,5.661927
17 Sep 2021 04:23:00.000,-2977.100435,6687.614425,-921.733090,-4.450288,-1.191776,5.727054
17 Sep 2021 04:24:00.000,-3238.507056,6604.292565,-576.452382,-4.265123,-1.587683,5.771700
17 Sep 2021 04:25:00.000,-3488.340851,6497.375795,-229.110186,-4.064741,-1.977929,5.795706
17 Sep 2021 04:26:00.000,-3725.710473,6367.245389,119.051360,-3.849858,-2.361120,5.798986
17 Sep 2021 04:27:00.000,-3949.769110,6214.365558,466.787189,-3.621241,-2.735888,5.781528
17 Sep 2021 04:28:00.000,-4159.717509,6039.281796,812.853754,-3.379706,-3.100893,5.743395
17 Sep 2021 04:29:00.000,-4354.806822,5842.618930,1156.013480,-3.126118,-3.454830,5.684723
17 Sep 2021 04:30:00.000,-4534.341283,5625.078893,1495.039184,-2.861381,-3.796436,5.605721
17 Sep 2021 04:31:00.000,-4697.680683,5387.438217,1828.718471,-2.586442,-4.124490,5.506672
17 Sep 2021 04:32:00.000,-4844.242659,5130.545261,2155.858060,-2.302282,-4.437818,5.387932
17 Sep 2021 04:33:00.000,-4973.504764,4855.317185,2475.288061,-2.009916,-4.735302,5.249923
17 Sep 2021 04:34:00.000,-5085.006336,4562.736671,2785.866153,-1.710388,-5.015879,5.093139
17 Sep 2021 04:35:00.000,-5178.350133,4253.848421,3086.481670,-1.404767,-5.278546,4.918142
17 Sep 2021 04:36:00.000,-5253.203756,3929.755418,3376.059574,-1.094146,-5.522363,4.725558
17 Sep 2021 04:37:00.000,-5309.300825,3591.614995,3653.564297,-0.779633,-5.746459,4.516073
17 Sep 2021 04:38:00.000,-5346.441930,3240.634700,3918.003448,-0.462350,-5.950034,4.290439
17 Sep 2021 04:39:00.000,-5364.495342,2878.067982,4168.431360,-0.143432,-6.132359,4.049462
17 Sep 2021 04:40:00.000,-5363.397478,2505.209716,4403.952471,0.175984,-6.292782,3.794004
17 Sep 2021 04:41:00.000,-5343.153123,2123.391578,4623.724527,0.494757,-6.430730,3.524977
17 Sep 2021 04:42:00.000,-5303.835414,1733.977288,4826.961597,0.811750,-6.545710,3.243345
17 Sep 2021 04:43:00.000,-5245.585574,1338.357742,5012.936877,1.125831,-6.637309,2.950114
17 Sep 2021 04:44:00.000,-5168.612402,937.946041,5180.985298,1.435878,-6.705200,2.646333
17 Sep 2021 04:45:00.000,-5073.191529,534.172447,5330.505895,1.740785,-6.749141,2.333089
17 Sep 2021 04:46:00.000,-4959.664430,128.479270,5460.963964,2.039465,-6.768972,2.011501
17 Sep 2021 04:47:00.000,-4828.437198,-277.684282,5571.892969,2.330850,-6.764624,1.682720
17 Sep 2021 04:48:00.000,-4679.979097,-682.867280,5662.896213,2.613901,-6.736109,1.347921
17 Sep 2021 04:49:00.000,-4514.820880,-1085.622254,5733.648257,2.887608,-6.683531,1.008301
17 Sep 2021 04:50:00.000,-4333.552894,-1484.510370,5783.896080,3.150995,-6.607075,0.665076
17 Sep 2021 04:51:00.000,-4136.822967,-1878.106567,5813.459990,3.403121,-6.507015,0.319473
17 Sep 2021 04:52:00.000,-3925.334096,-2265.004647,5822.234260,3.643087,-6.383707,-0.027273
17 Sep 2021 04:53:00.000,-3699.841932,-2643.822301,5810.187511,3.870037,-6.237590,-0.373922
17 Sep 2021 04:54:00.000,-3461.152082,-3013.206046,5777.362822,4.083161,-6.069188,-0.719233
17 Sep 2021 04:55:00.000,-3210.117231,-3371.836062,5723.877578,4.281699,-5.879099,-1.061972
17 Sep 2021 04:56:00.000,-2947.634094,-3718.430908,5649.923046,4.464944,-5.668003,-1.400914
17 Sep 2021 04:57:00.000,-2674.640214,-4051.752101,5555.763695,4.632240,-5.436653,-1.734846
