"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
17 Sep 2021 04:00:00.000,6936.748757,1159.929934,-2230.019018,0.891966,4.957213,5.353034
17 Sep 2021 04:01:00.000,6977.929954,1454.985316,-1904.840383,0.477525,4.879258,5.476253
17 Sep 2021 04:02:00.000,6994.183290,1744.834972,-1572.849838,0.061369,4.783891,5.579889
17 Sep 2021 04:03:00.000,6985.450132,2028.444594,-1235.234624,-0.355016,4.671454,5.663570
17 Sep 2021 04:04:00.000,6951.761106,2304.802189,-893.202098,-0.770142,4.542347,5.726997
17 Sep 2021 04:05:00.000,6893.235997,2572.921692,-547.975411,-1.182527,4.397034,5.769944
17 Sep 2021 04:06:00.000,6810.083318,2831.846484,-200.789141,-1.590696,4.236033,5.792257
17 Sep 2021 04:07:00.000,6702.599573,3080.652802,147.115131,-1.993192,4.059920,5.793856
17 Sep 2021 04:08:00.000,6571.168193,3318.453042,494.493254,-2.388576,3.869324,5.774736
17 Sep 2021 04:09:00.000,6416.258172,3544.398916,840.102960,-2.775436,3.664925,5.734964
17 Sep 2021 04:10:00.000,6238.422394,3757.684486,1182.708304,-3.152390,3.447454,5.674684
17 Sep 2021 04:11:00.000,6038.295656,3957.549035,1521.084085,-3.518090,3.217688,5.594110
17 Sep 2021 04:12:00.000,5816.592408,4143.279781,1854.020230,-3.871230,2.976447,5.493530
17 Sep 2021 04:13:00.000,5574.104196,4314.214417,2180.326116,-4.210548,2.724593,5.373306
17 Sep 2021 04:14:00.000,5311.696841,4469.743476,2498.834833,-4.534832,2.463025,5.233865
17 Sep 2021 04:15:00.000,5030.307344,4609.312504,2808.407353,-4.842922,2.192677,5.075708
17 Sep 2021 04:16:00.000,4730.940542,4732.424032,3107.936608,-5.133718,1.914514,4.899399
17 Sep 2021 04:17:00.000,4414.665520,4838.639355,3396.351443,-5.406180,1.629530,4.705570
17 Sep 2021 04:18:00.000,4082.611793,4927.580092,3672.620450,-5.659335,1.338742,4.494912
17 Sep 2021 04:19:00.000,3735.965270,4998.929533,3935.755660,-5.892277,1.043189,4.268181
17 Sep 2021 04:20:00.000,3375.964021,5052.433771,4184.816067,-6.104174,0.743924,4.026185
17 Sep 2021 04:21:00.000,3003.893854,5087.902599,4418.911002,-6.294269,0.442017,3.769792
17 Sep 2021 04:22:00.000,2621.083725,5105.210195,4637.203313,-6.461882,0.138546,3.499918
17 Sep 2021 04:23:00.000,2228.900986,5104.295558,4838.912361,-6.606413,-0.165408,3.217527
17 Sep 2021 04:24:00.000,1828.746507,5085.162733,5023.316811,-6.727347,-0.468758,2.923630
17 Sep 2021 04:25:00.000,1422.049667,5047.880785,5189.757212,-6.824249,-0.770421,2.619278
17 Sep 2021 04:26:00.000,1010.263252,4992.583557,5337.638352,-6.896773,-1.069323,2.305559
17 Sep 2021 04:27:00.000,594.858263,4919.469184,5466.431394,-6.944661,-1.364395,1.983595
17 Sep 2021 04:28:00.000,177.318663,4828.799387,5575.675758,-6.967740,-1.654584,1.654538
17 Sep 2021 04:29:00.000,-240.863927,4720.898533,5664.980777,-6.965926,-1.938856,1.319563
17 Sep 2021 04:30:00.000,-658.195553,4596.152477,5734.027085,-6.939227,-2.216195,0.979870
17 Sep 2021 04:31:00.000,-1073.185268,4455.007181,5782.567768,-6.887737,-2.485613,0.636673
17 Sep 2021 04:32:00.000,-1484.350457,4297.967119,5810.429240,-6.811638,-2.746147,0.291199
17 Sep 2021 04:33:00.000,-1890.222135,4125.593477,5817.511868,-6.711204,-2.996869,-0.055316
17 Sep 2021 04:34:00.000,-2289.350193,3938.502143,5803.790327,-6.586791,-3.236884,-0.401634
17 Sep 2021 04:35:00.000,-2680.308583,3737.361510,5769.313689,-6.438844,-3.465335,-0.746515
17 Sep 2021 04:36:00.000,-3061.700409,3522.890087,5714.205249,-6.267890,-3.681408,-1.088726
17 Sep 2021 04:37:00.000,-3432.162922,3295.853933,5638.662086,-6.074541,-3.884333,-1.427044
17 Sep 2021 04:38:00.000,-3790.372385,3057.063920,5542.954354,-5.859485,-4.073384,-1.760259
17 Sep 2021 04:39:00.000,-4135.048806,2807.372834,5427.424319,-5.623492,-4.247889,-2.087179
17 Sep 2021 04:40:00.000,-4464.960511,2547.672338,5292.485133,-5.367403,-4.407225,-2.406634
17 Sep 2021 04:41:00.000,-4778.928546,2278.889777,5138.619360,-5.092133,-4.550825,-2.717483
17 Sep 2021 04:42:00.000,-5075.830888,2001.984876,4966.377245,-4.798665,-4.678175,-3.018614
17 Sep 2021 04:43:00.000,-5354.606458,1717.946306,4776.374751,-4.488047,-4.788822,-3.308950
17 Sep 2021 04:44:00.000,-5614.258908,1427.788159,4569.291354,-4.161388,-4.882373,-3.587453
17 Sep 2021 04:45:00.000,-5853.860189,1132.546325,4345.867612,-3.819856,-4.958493,-3.853127
17 Sep 2021 04:46:00.000,-6072.553862,833.274794,4106.902520,-3.464669,-5.016913,-4.105021
17 Sep 2021 04:47:00.000,-6269.558161,531.041895,3853.250649,-3.097096,-5.057423,-4.342235
17 Sep 2021 04:48:00.000,-6444.168790,226.926479,3585.819094,-2.718450,-5.079881,-4.563921
17 Sep 2021 04:49:00.000,-6595.761438,-77.985928,3305.564225,-2.330085,-5.084207,-4.769285
17 Sep 2021 04:50:00.000,-6723.794012,-382.607004,3013.488271,-1.933386,-5.070387,-4.957594
17 Sep 2021 04:51:00.000,-6827.808575,-685.849512,2710.635736,-1.529770,-5.038469,-5.128174
17 Sep 2021 04:52:00.000,-6907.432988,-986.631182,2398.089660,-1.120681,-4.988570,-5.280415
17 Sep 2021 04:53:00.000,-6962.382234,-1283.878572,2076.967750,-0.707579,-4.920868,-5.413772
17 Sep 2021 04:54:00.000,-6992.459444,-1576.530904,1748.418379,-0.291939,-4.835605,-5.527769
17 Sep 2021 04:55:00.000,-6997.556600,-1863.543843,1413.616483,0.124753,-4.733087,-5.621998
17 Sep 2021 04:56:00.000,-6977.654926,-2143.893227,1073.759358,0.541009,-4.613680,-5.696122
17 Sep 2021 04:57:00.000,-6932.824950,-2416.578723,730.062378,0.955341,-4.477811,-5.749876
17 Sep 2021 04:58:00.000,-6863.226264,-2680.627392,383.754646,1.366270,-4.325965,-5.783068
17 Sep 2021 04:59:00.000,-6769.106946,-2935.097164,36.074605,1.772327,-4.158686,-5.795578
17 Sep 2021 05:00:00.000,-6650.802684,-3179.080199,-311.734398,2.172062,-3.976570,-5.787363
17 Sep 2021 05:01:00.000,-6508.735573,-3411.706124,-658.428552,2.564046,-3.780270,-5.758452
17 Sep 2021 05:02:00.000,-6343.412610,-3632.145140,-1002.768035,2.946879,-3.570485,-5.708947
17 Sep 2021 05:03:00.000,-6155.423889,-3839.610978,-1343.521445,3.319193,-3.347965,-5.639027
17 Sep 2021 05:04:00.000,-5945.440490,-4033.363709,-1679.470204,3.679657,-3.113506,-5.548941
17 Sep 2021 05:05:00.000,-5714.212084,-4212.712378,-2009.412917,4.026984,-2.867944,-5.439011
17 Sep 2021 05:06:00.000,-5462.564258,-4377.017473,-2332.169669,4.359932,-2.612156,-5.309630
17 Sep 2021 05:07:00.000,-5191.395568,-4525.693199,-2646.586239,4.677312,-2.347055,-5.161262
17 Sep 2021 05:08:00.000,-4901.674328,-4658.209572,-2951.538236,4.977989,-2.073589,-4.994436
17 Sep 2021 05:09:00.000,-4594.435153,-4774.094308,-3245.935112,5.260889,-1.792733,-4.809750
17 Sep 2021 05:10:00.000,-4270.775268,-4872.934501,-3528.724069,5.525001,-1.505491,-4.607863
17 Sep 2021 05:11:00.000,-3931.850583,-4954.378099,-3798.893818,5.769380,-1.212888,-4.389498
17 Sep 2021 05:12:00.000,-3578.871569,-5018.135157,-4055.478199,5.993154,-0.915968,-4.155436
17 Sep 2021 05:13:00.000,-3213.098936,-5063.978870,-4297.559636,6.195522,-0.615791,-3.906513
17 Sep 2021 05:14:00.000,-2835.839126,-5091.746375,-4524.272416,6.375761,-0.313430,-3.643620
17 Sep 2021 05:15:00.000,-2448.439650,-5101.339337,-4734.805787,6.533227,-0.009962,-3.367697
17 Sep 2021 05:16:00.000,-2052.284274,-5092.724290,-4928.406857,6.667356,0.293528,-3.079731
17 Sep 2021 05:17:00.000,-1648.788075,-5065.932761,-5104.383286,6.777669,0.595958,-2.780751
17 Sep 2021 05:18:00.000,-1239.392390,-5021.061147,-5262.105762,6.863771,0.896247,-2.471827
17 Sep 2021 05:19:00.000,-825.559662,-4958.270373,-5401.010252,6.925354,1.193325,-2.154064
17 Sep 2021 05:20:00.000,-408.768220,-4877.785315,-5520.600018,6.962197,1.486131,-1.828597
17 Sep 2021 05:21:00.000,9.493003,-4779.893992,-5620.447393,6.974168,1.773621,-1.496591
17 Sep 2021 05:22:00.000,427.729790,-4664.946537,-5700.195314,6.961224,2.054768,-1.159234
17 Sep 2021 05:23:00.000,844.447977,-4533.353945,-5759.558595,6.923411,2.328569,-0.817730
17 Sep 2021 05:24:00.000,1258.158791,-4385.586603,-5798.324948,6.860863,2.594047,-0.473303
17 Sep 2021 05:25:00.000,1667.384171,-4222.172606,-5816.355741,6.773803,2.850255,-0.127182
17 Sep 2021 05:26:00.000,2070.662043,-4043.695875,-5813.586497,6.662541,3.096280,0.219393
17 Sep 2021 05:27:00.000,2466.551552,-3850.794067,-5790.027123,6.527475,3.331243,0.565183
17 Sep 2021 05:28:00.000,2853.638203,-3644.156296,-5745.761872,6.369086,3.554306,0.908952
17 Sep 2021 05:29:00.000,3230.538917,-3424.520675,-5680.949045,6.187940,3.764673,1.249470
17 Sep 2021 05:30:00.000,3595.906974,-3192.671673,-5595.820423,5.984683,3.961595,1.585521
17 Sep 2021 05:31:00.000,3948.436825,-2949.437322,-5490.680442,5.760041,4.144369,1.915901
17 Sep 2021 05:32:00.000,4286.868755,-2695.686251,-5365.905097,5.514815,4.312343,2.239429
17 Sep 2021 05:33:00.000,4609.993385,-2432.324592,-5221.940603,5.249883,4.464919,2.554949
17 Sep 2021 05:34:00.000,4916.655998,-2160.292735,-5059.301798,4.966189,4.601552,2.861333
