"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
17 Sep 2021 04:00:00.000,-5986.011314,-2933.623583,3162.028907,0.126006,-5.504915,-4.868734
17 Sep 2021 04:01:00.000,-5967.892976,-3258.415607,2864.242790,0.481993,-5.320405,-5.048318
17 Sep 2021 04:02:00.000,-5928.461173,-3571.557734,2556.213815,0.836274,-5.116900,-5.209848
17 Sep 2021 04:03:00.000,-5867.855828,-3871.932027,2239.043535,1.187583,-4.895128,-5.352747
17 Sep 2021 04:04:00.000,-5786.292485,-4158.466194,1913.866189,1.534666,-4.655882,-5.476505
17 Sep 2021 04:05:00.000,-5684.061541,-4430.137411,1581.844653,1.876283,-4.400016,-5.580677
17 Sep 2021 04:06:00.000,-5561.527217,-4685.975979,1244.166278,2.211214,-4.128445,-5.664893
17 Sep 2021 04:07:00.000,-5419.126256,-4925.068781,902.038644,2.538262,-3.842140,-5.728850
17 Sep 2021 04:08:00.000,-5257.366367,-5146.562544,556.685242,2.856259,-3.542124,-5.772320
17 Sep 2021 04:09:00.000,-5076.824416,-5349.666881,209.341098,3.164069,-3.229469,-5.795147
17 Sep 2021 04:10:00.000,-4878.144370,-5533.657116,-138.751641,3.460592,-2.905292,-5.797251
17 Sep 2021 04:11:00.000,-4662.034997,-5697.876864,-486.348153,3.744770,-2.570751,-5.778622
17 Sep 2021 04:12:00.000,-4429.267338,-5841.740376,-832.205390,4.015585,-2.227042,-5.739329
17 Sep 2021 04:13:00.000,-4180.671960,-5964.734630,-1175.086523,4.272072,-1.875392,-5.679511
17 Sep 2021 04:14:00.000,-3917.135988,-6066.421157,-1513.765369,4.513313,-1.517058,-5.599382
17 Sep 2021 04:15:00.000,-3639.599940,-6146.437603,-1847.030769,4.738446,-1.153319,-5.499229
17 Sep 2021 04:16:00.000,-3349.054372,-6204.499026,-2173.690926,4.946666,-0.785475,-5.379411
17 Sep 2021 04:17:00.000,-3046.536342,-6240.398905,-2492.577664,5.137230,-0.414840,-5.240355
17 Sep 2021 04:18:00.000,-2733.125708,-6254.009879,-2802.550604,5.309455,-0.042737,-5.082559
17 Sep 2021 04:19:00.000,-2409.941273,-6245.284194,-3102.501247,5.462726,0.329503,-4.906587
17 Sep 2021 04:20:00.000,-2078.136793,-6214.253874,-3391.356933,5.596495,0.700553,-4.713068
17 Sep 2021 04:21:00.000,-1738.896855,-6161.030604,-3668.084679,5.710283,1.069086,-4.502695
17 Sep 2021 04:22:00.000,-1393.432651,-6085.805325,-3931.694874,5.803683,1.433787,-4.276220
17 Sep 2021 04:23:00.000,-1042.977653,-5988.847551,-4181.244816,5.876361,1.793353,-4.034452
17 Sep 2021 04:24:00.000,-688.783207,-5870.504404,-4415.842086,5.928056,2.146501,-3.778257
17 Sep 2021 04:25:00.000,-332.114066,-5731.199369,-4634.647735,5.958583,2.491968,-3.508550
17 Sep 2021 04:26:00.000,25.756125,-5571.430781,-4836.879290,5.967831,2.828522,-3.226297
17 Sep 2021 04:27:00.000,383.549379,-5391.770039,-5021.813548,5.955768,3.154961,-2.932505
17 Sep 2021 04:28:00.000,739.987928,-5192.859569,-5188.789161,5.922434,3.470120,-2.628227
17 Sep 2021 04:29:00.000,1093.798790,-4975.410517,-5337.209007,5.867949,3.772873,-2.314550
17 Sep 2021 04:30:00.000,1443.718314,-4740.200217,-5466.542319,5.792505,4.062140,-1.992596
17 Sep 2021 04:31:00.000,1788.496690,-4488.069403,-5576.326588,5.696372,4.336888,-1.663516
17 Sep 2021 04:32:00.000,2126.902417,-4219.919211,-5666.169213,5.579892,4.596135,-1.328487
17 Sep 2021 04:33:00.000,2457.726702,-3936.707954,-5735.748908,5.443480,4.838958,-0.988708
17 Sep 2021 04:34:00.000,2779.787773,-3639.447698,-5784.816849,5.287622,5.064490,-0.645392
17 Sep 2021 04:35:00.000,3091.935106,-3329.200647,-5813.197566,5.112875,5.271924,-0.299769
