"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
17 Sep 2021 04:00:00.000,-4143.639506,-2104.086786,-5730.617421,4.287155,-5.896684,-0.934854
17 Sep 2021 04:01:00.000,-3879.103276,-2453.963036,-5776.463346,4.525974,-5.761050,-0.591940
17 Sep 2021 04:02:00.000,-3600.725742,-2795.087859,-5801.651798,4.748621,-5.604835,-0.246908
17 Sep 2021 04:03:00.000,-3309.501581,-3126.242538,-5806.092702,4.954301,-5.428595,0.099006
17 Sep 2021 04:04:00.000,-3006.471306,-3446.243917,-5789.770180,5.142280,-5.232959,0.444566
17 Sep 2021 04:05:00.000,-2692.717546,-3753.948633,-5752.742604,5.311888,-5.018625,0.788536
17 Sep 2021 04:06:00.000,-2369.361176,-4048.257197,-5695.142393,5.462520,-4.786358,1.129687
17 Sep 2021 04:07:00.000,-2037.557319,-4328.117925,-5617.175535,5.593639,-4.536987,1.466797
17 Sep 2021 04:08:00.000,-1698.491211,-4592.530697,-5519.120853,5.704777,-4.271402,1.798662
17 Sep 2021 04:09:00.000,-1353.373975,-4840.550530,-5401.329007,5.795538,-3.990551,2.124094
17 Sep 2021 04:10:00.000,-1003.438292,-5071.290953,-5264.221239,5.865600,-3.695436,2.441931
17 Sep 2021 04:11:00.000,-649.933996,-5283.927180,-5108.287868,5.914713,-3.387111,2.751034
17 Sep 2021 04:12:00.000,-294.123614,-5477.699055,-4934.086537,5.942701,-3.066677,3.050300
17 Sep 2021 04:13:00.000,62.722148,-5651.913770,-4742.240216,5.949467,-2.735277,3.338657
17 Sep 2021 04:14:00.000,419.328937,-5805.948342,-4533.434977,5.934987,-2.394096,3.615075
17 Sep 2021 04:15:00.000,774.423309,-5939.251842,-4308.417539,5.899314,-2.044350,3.878565
17 Sep 2021 04:16:00.000,1126.737273,-6051.347364,-4067.992599,5.842576,-1.687289,4.128184
17 Sep 2021 04:17:00.000,1475.012822,-6141.833733,-3813.019953,5.764975,-1.324189,4.363040
17 Sep 2021 04:18:00.000,1818.006422,-6210.386938,-3544.411421,5.666792,-0.956345,4.582294
17 Sep 2021 04:19:00.000,2154.493455,-6256.761294,-3263.127587,5.548376,-0.585071,4.785160
17 Sep 2021 04:20:00.000,2483.272587,-6280.790324,-2970.174364,5.410151,-0.211693,4.970914
17 Sep 2021 04:21:00.000,2803.170063,-6282.387352,-2666.599397,5.252613,0.162454,5.138891
17 Sep 2021 04:22:00.000,3113.043892,-6261.545821,-2353.488314,5.076324,0.536036,5.288491
