"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
17 Sep 2021 04:00:00.000,-6971.320811,-2169.171337,1064.089966,0.564283,-4.608639,-5.697945
17 Sep 2021 04:01:00.000,-6925.106752,-2441.509501,720.300923,0.978197,-4.471274,-5.751119
17 Sep 2021 04:02:00.000,-6854.151548,-2705.121806,373.936038,1.388626,-4.317957,-5.783728
17 Sep 2021 04:03:00.000,-6758.708123,-2959.067738,26.233956,1.794104,-4.149234,-5.795652
17 Sep 2021 04:04:00.000,-6639.116890,-3202.441329,-321.561896,2.193181,-3.965709,-5.786851
17 Sep 2021 04:05:00.000,-6495.804539,-3434.374380,-668.207755,2.584432,-3.768038,-5.757355
17 Sep 2021 04:06:00.000,-6329.282515,-3654.039566,-1012.463971,2.966459,-3.556926,-5.707271
17 Sep 2021 04:07:00.000,-6140.145191,-3860.653382,-1353.099441,3.337897,-3.333128,-5.636776
17 Sep 2021 04:08:00.000,-5929.067747,-4053.478940,-1688.896008,3.697418,-3.097443,-5.546123
17 Sep 2021 04:09:00.000,-5696.803762,-4231.828597,-2018.652821,4.043739,-2.850712,-5.435637
17 Sep 2021 04:10:00.000,-5444.182519,-4395.066408,-2341.190630,4.375622,-2.593817,-5.305712
17 Sep 2021 04:11:00.000,-5172.106049,-4542.610388,-2655.355997,4.691880,-2.327675,-5.156814
17 Sep 2021 04:12:00.000,-4881.545907,-4673.934596,-2960.025429,4.991383,-2.053237,-4.989474
17 Sep 2021 04:13:00.000,-4573.539704,-4788.571003,-3254.109390,5.273061,-1.771482,-4.804291
17 Sep 2021 04:14:00.000,-4249.187401,-4886.111161,-3536.556199,5.535908,-1.483416,-4.601927
17 Sep 2021 04:15:00.000,-3909.647380,-4966.207662,-3806.355791,5.778984,-1.190068,-4.383106
17 Sep 2021 04:16:00.000,-3556.132311,-5028.575370,-4062.543332,6.001419,-0.892485,-4.148611
17 Sep 2021 04:17:00.000,-3189.904815,-5072.992441,-4304.202662,6.202420,-0.591729,-3.899280
17 Sep 2021 04:18:00.000,-2812.272958,-5099.301108,-4530.469579,6.381266,-0.288874,-3.636004
17 Sep 2021 04:19:00.000,-2424.585579,-5107.408245,-4740.534926,6.537320,0.014999,-3.359726
17 Sep 2021 04:20:00.000,-2028.227472,-5097.285692,-4933.647484,6.670022,0.318806,-3.071433
17 Sep 2021 04:21:00.000,-1624.614437,-5068.970357,-5109.116660,6.778899,0.621462,-2.772156
17 Sep 2021 04:22:00.000,-1215.188226,-5022.564082,-5266.314955,6.863560,0.921887,-2.462966
17 Sep 2021 04:23:00.000,-801.411393,-4958.233271,-5404.680213,6.923703,1.219009,-2.144968
17 Sep 2021 04:24:00.000,-384.762066,-4876.208299,-5523.717622,6.959113,1.511767,-1.819299
17 Sep 2021 04:25:00.000,33.271330,-4776.782686,-5623.001492,6.969661,1.799117,-1.487124
17 Sep 2021 04:26:00.000,451.195393,-4660.312043,-5702.176775,6.955311,2.080033,-1.149631
17 Sep 2021 04:27:00.000,867.517075,-4527.212804,-5760.960332,6.916112,2.353513,-0.808027
17 Sep 2021 04:28:00.000,1280.749020,-4377.960737,-5799.141947,6.852204,2.618582,-0.463533
