"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
17 Sep 2021 04:00:00.000,-4093.676937,3905.154017,4735.872341,-2.017821,-6.209335,3.375958
17 Sep 2021 04:01:00.000,-4207.272378,3525.788886,4929.967288,-1.770733,-6.430694,3.087914
17 Sep 2021 04:02:00.000,-4305.856528,3133.824585,5106.432083,-1.517332,-6.629079,2.788827
17 Sep 2021 04:03:00.000,-4389.077903,2730.661469,5264.635666,-1.258521,-6.803780,2.479767
17 Sep 2021 04:04:00.000,-4456.639826,2317.739914,5404.012282,-0.995224,-6.954173,2.161840
17 Sep 2021 04:05:00.000,-4508.301496,1896.535166,5524.063502,-0.728381,-7.079720,1.836181
17 Sep 2021 04:06:00.000,-4543.878834,1468.552078,5624.360010,-0.458942,-7.179974,1.503956
17 Sep 2021 04:07:00.000,-4563.245151,1035.319726,5704.543133,-0.187871,-7.254575,1.166352
17 Sep 2021 04:08:00.000,-4566.331588,598.385950,5764.326125,0.083868,-7.303258,0.824578
17 Sep 2021 04:09:00.000,-4553.127371,159.311824,5803.495195,0.355303,-7.325847,0.479854
17 Sep 2021 04:10:00.000,-4523.679839,-280.333923,5821.910270,0.625466,-7.322263,0.133415
17 Sep 2021 04:11:00.000,-4478.094283,-718.980511,5819.505495,0.893394,-7.292517,-0.213502
17 Sep 2021 04:12:00.000,-4416.533562,-1155.060720,5796.289470,1.158132,-7.236716,-0.559654
17 Sep 2021 04:13:00.000,-4339.217527,-1587.016492,5752.345217,1.418733,-7.155059,-0.903806
17 Sep 2021 04:14:00.000,-4246.422232,-2013.304496,5687.829887,1.674270,-7.047838,-1.244725
17 Sep 2021 04:15:00.000,-4138.478952,-2432.401643,5602.974192,1.923830,-6.915435,-1.581194
17 Sep 2021 04:16:00.000,-4015.772996,-2842.810525,5498.081589,2.166523,-6.758324,-1.912007
17 Sep 2021 04:17:00.000,-3878.742334,-3243.064771,5373.527183,2.401483,-6.577066,-2.235983
17 Sep 2021 04:18:00.000,-3727.876035,-3631.734280,5229.756398,2.627872,-6.372308,-2.551963
17 Sep 2021 04:19:00.000,-3563.712518,-4007.430335,5067.283374,2.844884,-6.144781,-2.858817
17 Sep 2021 04:20:00.000,-3386.837636,-4368.810563,4886.689134,3.051743,-5.895300,-3.155447
17 Sep 2021 04:21:00.000,-3197.882577,-4714.583731,4688.619504,3.247711,-5.624753,-3.440793
17 Sep 2021 04:22:00.000,-2997.521621,-5043.514363,4473.782805,3.432091,-5.334109,-3.713835
17 Sep 2021 04:23:00.000,-2786.469727,-5354.427150,4242.947319,3.604224,-5.024406,-3.973595
17 Sep 2021 04:24:00.000,-2565.479983,-5646.211150,3996.938541,3.763496,-4.696749,-4.219145
17 Sep 2021 04:25:00.000,-2335.340923,-5917.823761,3736.636227,3.909339,-4.352310,-4.449607
17 Sep 2021 04:26:00.000,-2096.873707,-6168.294446,3462.971250,4.041233,-3.992319,-4.664157
17 Sep 2021 04:27:00.000,-1850.929196,-6396.728195,3176.922269,4.158709,-3.618062,-4.862027
17 Sep 2021 04:28:00.000,-1598.384913,-6602.308732,2879.512228,4.261346,-3.230876,-5.042510
17 Sep 2021 04:29:00.000,-1340.141916,-6784.301424,2571.804702,4.348779,-2.832145,-5.204961
17 Sep 2021 04:30:00.000,-1077.121577,-6942.055912,2254.900089,4.420697,-2.423292,-5.348797
