"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
17 Sep 2021 04:00:00.000,-4099.420777,2143.555434,5747.766957,-4.347278,-5.855342,-0.916890
17 Sep 2021 04:01:00.000,-4352.855060,1788.586984,5682.474375,-4.095662,-5.972332,-1.257514
17 Sep 2021 04:02:00.000,-4590.754970,1427.244255,5596.860569,-3.829410,-6.067987,-1.593640
17 Sep 2021 04:03:00.000,-4812.270260,1060.818027,5491.231706,-3.549470,-6.141967,-1.924068
17 Sep 2021 04:04:00.000,-5016.609155,690.617183,5365.965531,-3.256843,-6.194008,-2.247614
17 Sep 2021 04:05:00.000,-5203.041192,317.964040,5221.510013,-2.952573,-6.223926,-2.563123
17 Sep 2021 04:06:00.000,-5370.899825,-55.810380,5058.381743,-2.637745,-6.231613,-2.869466
17 Sep 2021 04:07:00.000,-5519.584810,-429.371100,4877.164092,-2.313485,-6.217044,-3.165547
17 Sep 2021 04:08:00.000,-5648.564350,-801.383958,4678.505117,-1.980948,-6.180272,-3.450308
17 Sep 2021 04:09:00.000,-5757.377000,-1170.520373,4463.115249,-1.641323,-6.121428,-3.722730
17 Sep 2021 04:10:00.000,-5845.633316,-1535.462086,4231.764751,-1.295823,-6.040723,-3.981839
17 Sep 2021 04:11:00.000,-5913.017248,-1894.905873,3985.280962,-0.945680,-5.938448,-4.226709
17 Sep 2021 04:12:00.000,-5959.287274,-2247.568194,3724.545340,-0.592145,-5.814967,-4.456463
17 Sep 2021 04:13:00.000,-5984.277263,-2592.189780,3450.490309,-0.236481,-5.670723,-4.670280
17 Sep 2021 04:14:00.000,-5987.897075,-2927.540126,3164.095925,0.120043,-5.506231,-4.867396
17 Sep 2021 04:15:00.000,-5970.132881,-3252.421888,2866.386372,0.476153,-5.322081,-5.047105
17 Sep 2021 04:16:00.000,-5931.047223,-3565.675157,2558.426295,0.830578,-5.118929,-5.208766
17 Sep 2021 04:17:00.000,-5870.778785,-3866.181599,2241.317001,1.182051,-4.897504,-5.351799
