"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
17 Sep 2021 04:00:00.000,5598.084878,2190.932272,-4277.635687,-4.624276,4.150774,-3.925772
17 Sep 2021 04:01:00.000,5310.719399,2435.830655,-4505.540376,-4.949178,4.013109,-3.664032
17 Sep 2021 04:02:00.000,5004.383587,2672.044677,-4717.332694,-5.256395,3.861121,-3.389188
17 Sep 2021 04:03:00.000,4680.172127,2898.731257,-4912.255241,-5.544828,3.695352,-3.102224
17 Sep 2021 04:04:00.000,4339.243552,3115.081282,-5089.610947,-5.813448,3.516392,-2.804166
17 Sep 2021 04:05:00.000,3982.816111,3320.322499,-5248.765561,-6.061294,3.324881,-2.496081
17 Sep 2021 04:06:00.000,3612.163410,3513.722271,-5389.149923,-6.287482,3.121501,-2.179068
17 Sep 2021 04:07:00.000,3228.609861,3694.590189,-5510.261998,-6.491204,2.906977,-1.854263
17 Sep 2021 04:08:00.000,2833.525955,3862.280542,-5611.668671,-6.671732,2.682075,-1.522827
17 Sep 2021 04:09:00.000,2428.323359,4016.194618,-5693.007294,-6.828422,2.447596,-1.185945
17 Sep 2021 04:10:00.000,2014.449875,4155.782844,-5753.986987,-6.960714,2.204377,-0.844822
17 Sep 2021 04:11:00.000,1593.384266,4280.546746,-5794.389677,-7.068135,1.953286,-0.500678
17 Sep 2021 04:12:00.000,1166.630973,4390.040731,-5814.070875,-7.150303,1.695218,-0.154743
17 Sep 2021 04:13:00.000,735.714741,4483.873680,-5812.960195,-7.206923,1.431095,0.191745
17 Sep 2021 04:14:00.000,302.175168,4561.710339,-5791.061607,-7.237794,1.161857,0.537548
17 Sep 2021 04:15:00.000,-132.438793,4623.272524,-5748.453420,-7.242807,0.888466,0.881428
17 Sep 2021 04:16:00.000,-566.574370,4668.340112,-5685.288003,-7.221942,0.611897,1.222157
17 Sep 2021 04:17:00.000,-998.680519,4696.751824,-5601.791241,-7.175276,0.333137,1.558514
17 Sep 2021 04:18:00.000,-1427.213464,4708.405813,-5498.261727,-7.102975,0.053181,1.889299
17 Sep 2021 04:19:00.000,-1850.642214,4703.260016,-5375.069693,-7.005298,-0.226974,2.213327
17 Sep 2021 04:20:00.000,-2267.454034,4681.332316,-5232.655688,-6.882594,-0.506326,2.529440
17 Sep 2021 04:21:00.000,-2676.159845,4642.700474,-5071.528999,-6.735302,-0.783880,2.836507
17 Sep 2021 04:22:00.000,-3075.299548,4587.501857,-4892.265834,-6.563949,-1.058644,3.133431
17 Sep 2021 04:23:00.000,-3463.447240,4515.932948,-4695.507259,-6.369146,-1.329639,3.419149
17 Sep 2021 04:24:00.000,-3839.216305,4428.248643,-4481.956906,-6.151590,-1.595898,3.692640
