"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
17 Sep 2021 04:00:00.000,-2027.301208,5370.459054,4635.204952,-4.426463,-4.701379,3.511126
17 Sep 2021 04:01:00.000,-2289.044761,5078.868164,4837.590087,-4.298052,-5.012576,3.228835
17 Sep 2021 04:02:00.000,-2542.629262,4769.137637,5022.675406,-4.154298,-5.305859,2.934997
17 Sep 2021 04:03:00.000,-2787.149430,4442.374337,5189.799023,-3.995712,-5.580182,2.630663
17 Sep 2021 04:04:00.000,-3021.732300,4099.745960,5338.363285,-3.822861,-5.834565,2.316921
17 Sep 2021 04:05:00.000,-3245.540335,3742.476863,5467.836909,-3.636361,-6.068098,1.994895
17 Sep 2021 04:06:00.000,-3457.774420,3371.843683,5577.756882,-3.436877,-6.279948,1.665734
17 Sep 2021 04:07:00.000,-3657.676713,2989.170782,5667.730118,-3.225120,-6.469359,1.330616
17 Sep 2021 04:08:00.000,-3844.533352,2595.825511,5737.434864,-3.001845,-6.635654,0.990740
17 Sep 2021 04:09:00.000,-4017.677004,2193.213324,5786.621847,-2.767849,-6.778239,0.647321
17 Sep 2021 04:10:00.000,-4176.489249,1782.772760,5815.115169,-2.523967,-6.896606,0.301586
17 Sep 2021 04:11:00.000,-4320.402786,1365.970298,5822.812937,-2.271068,-6.990332,-0.045226
17 Sep 2021 04:12:00.000,-4448.903465,944.295119,5809.687623,-2.010055,-7.059083,-0.391877
17 Sep 2021 04:13:00.000,-4561.532119,519.253788,5775.786165,-1.741858,-7.102613,-0.737126
17 Sep 2021 04:14:00.000,-4657.886204,92.364868,5721.229801,-1.467435,-7.120768,-1.079740
17 Sep 2021 04:15:00.000,-4737.621243,-334.846503,5646.213631,-1.187765,-7.113482,-1.418492
17 Sep 2021 04:16:00.000,-4800.452054,-760.854063,5551.005923,-0.903846,-7.080784,-1.752171
17 Sep 2021 04:17:00.000,-4846.153770,-1184.135878,5435.947153,-0.616690,-7.022789,-2.079584
17 Sep 2021 04:18:00.000,-4874.562644,-1603.179778,5301.448785,-0.327322,-6.939705,-2.399561
17 Sep 2021 04:19:00.000,-4885.576636,-2016.488759,5147.991803,-0.036776,-6.831830,-2.710956
17 Sep 2021 04:20:00.000,-4879.155781,-2422.586336,4976.124988,0.253913,-6.699550,-3.012657
17 Sep 2021 04:21:00.000,-4855.322331,-2820.021810,4786.462958,0.543707,-6.543337,-3.303584
17 Sep 2021 04:22:00.000,-4814.160679,-3207.375454,4579.683967,0.831571,-6.363750,-3.582697
17 Sep 2021 04:23:00.000,-4755.817063,-3583.263588,4356.527484,1.116479,-6.161431,-3.848997
17 Sep 2021 04:24:00.000,-4680.499041,-3946.343514,4117.791543,1.397413,-5.937103,-4.101534
17 Sep 2021 04:25:00.000,-4588.474759,-4295.318318,3864.329893,1.673371,-5.691569,-4.339402
17 Sep 2021 04:26:00.000,-4480.071990,-4628.941503,3597.048946,1.943367,-5.425705,-4.561753
17 Sep 2021 04:27:00.000,-4355.676972,-4946.021436,3316.904530,2.206438,-5.140462,-4.767790
17 Sep 2021 04:28:00.000,-4215.733029,-5245.425610,3024.898475,2.461645,-4.836859,-4.956777
17 Sep 2021 04:29:00.000,-4060.738991,-5526.084686,2722.075033,2.708077,-4.515982,-5.128037
17 Sep 2021 04:30:00.000,-3891.247416,-5786.996311,2409.517136,2.944854,-4.178976,-5.280960
17 Sep 2021 04:31:00.000,-3707.862623,-6027.228703,2088.342529,3.171130,-3.827046,-5.414997
17 Sep 2021 04:32:00.000,-3511.238533,-6245.923972,1759.699773,3.386098,-3.461450,-5.529669
17 Sep 2021 04:33:00.000,-3302.076340,-6442.301188,1424.764133,3.588990,-3.083494,-5.624567
17 Sep 2021 04:34:00.000,-3081.122009,-6615.659170,1084.733380,3.779082,-2.694529,-5.699350
17 Sep 2021 04:35:00.000,-2849.163616,-6765.378985,740.823505,3.955694,-2.295945,-5.753752
17 Sep 2021 04:36:00.000,-2607.028540,-6890.926163,394.264373,4.118197,-1.889164,-5.787577
17 Sep 2021 04:37:00.000,-2355.580506,-6991.852602,46.295319,4.266008,-1.475642,-5.800706
17 Sep 2021 04:38:00.000,-2095.716509,-7067.798169,-301.839276,4.398601,-1.056855,-5.793091
17 Sep 2021 04:39:00.000,-1828.363612,-7118.491982,-648.894441,4.515502,-0.634300,-5.764759
17 Sep 2021 04:40:00.000,-1554.475639,-7143.753380,-993.629065,4.616293,-0.209486,-5.715811
17 Sep 2021 04:41:00.000,-1275.029773,-7143.492566,-1334.810335,4.700613,0.216068,-5.646423
17 Sep 2021 04:42:00.000,-991.023068,-7117.710922,-1671.218147,4.768161,0.640843,-5.556842
17 Sep 2021 04:43:00.000,-703.468892,-7066.501010,-2001.649466,4.818695,1.063322,-5.447390
17 Sep 2021 04:44:00.000,-413.393312,-6990.046232,-2324.922629,4.852035,1.481993,-5.318457
17 Sep 2021 04:45:00.000,-121.831433,-6888.620179,-2639.881573,4.868061,1.895363,-5.170505
17 Sep 2021 04:46:00.000,170.176297,-6762.585649,-2945.399967,4.866714,2.301955,-5.004062
17 Sep 2021 04:47:00.000,461.587800,-6612.393348,-3240.385241,4.847999,2.700315,-4.819725
17 Sep 2021 04:48:00.000,751.363084,-6438.580282,-3523.782493,4.811982,3.089020,-4.618151
17 Sep 2021 04:49:00.000,1038.467959,-6241.767836,-3794.578260,4.758791,3.466683,-4.400062
17 Sep 2021 04:50:00.000,1321.877723,-6022.659549,-4051.804145,4.688616,3.831955,-4.166239
17 Sep 2021 04:51:00.000,1600.580824,-5782.038605,-4294.540277,4.601705,4.183530,-3.917516
17 Sep 2021 04:52:00.000,1873.582467,-5520.765026,-4521.918604,4.498369,4.520152,-3.654783
17 Sep 2021 04:53:00.000,2139.908166,-5239.772606,-4733.125993,4.378975,4.840620,-3.378981
17 Sep 2021 04:54:00.000,2398.607223,-4940.065569,-4927.407143,4.243949,5.143789,-3.091095
17 Sep 2021 04:55:00.000,2648.756122,-4622.714980,-5104.067281,4.093773,5.428575,-2.792155
17 Sep 2021 04:56:00.000,2889.461822,-4288.854919,-5262.474651,3.928982,5.693962,-2.483230
17 Sep 2021 04:57:00.000,3119.864950,-3939.678429,-5402.062769,3.750162,5.939003,-2.165425
17 Sep 2021 04:58:00.000,3339.142869,-3576.433250,-5522.332451,3.557953,6.162821,-1.839876
17 Sep 2021 04:59:00.000,3546.512610,-3200.417360,-5622.853601,3.353039,6.364618,-1.507747
17 Sep 2021 05:00:00.000,3741.233673,-2812.974342,-5703.266744,3.136151,6.543674,-1.170226
